Nome do jogo;Gênero;Desenvolvedora;Console;Data de conclusão;Tempo (em float);Ano de lançamento
Sonic The Hedgehog 3;Plataforma;SEGA;Sega MegaDrive;;3;1994
Dissidia Final Fantasy;Luta;Square Enix;PlayStation Portable;;26;2008
Resident Evil 7: Biohazard;Survival Horror;Capcom;PC;;12;2017
Monument Valley;Puzzle;Ustwo;Mobile;;2;2014
Dissidia 012 Final Fantasy;Luta;Square Enix;PlayStation Portable;;28;2011
The 3rd Birthday;Tiro em Terceira Pessoa;Square Enix;PlayStation Portable;;10,5;2010
Kingdom Hearts: Birth of Sleep;RPG de A��o;Square Enix;PlayStation Portable;;26;2010
Assassin's Creed: Rogue;A��o;Ubisoft;PlayStation 3;;10,5;2014
Call of Duty: Modern Warfare 3;Tiro em Primeira Pessoa;Infinity Yard/ Activision;PC;;6;2011
Crash Bandicoot (N Sane Trilogy);Plataforma;Activision;PC;;5;2017
Injustice 2: Every Battle Defines You;Luta;Netherrealm Games;PC;;5,5;2017
Crash Bandicoot 2 (N Sane Trilogy);Plataforma;Activision;PC;;5,5;2017
Tekken 7;Luta;Namco Bandai;PC;;5;2015
Resident Evil 2: Remake;Survival Horror;Capcom;PC;;12;2019
Crash Bandicoot 3: Warped (N Sane Trilogy);Plataforma;Activision;PC;;5;2017
Sonic Forces;Plataforma;SEGA;PC;;4;2017
Devil May Cry V;Hack and Slash;Capcom;PC;;12;2019
Mortal Kombat X;Luta;Netherrealm Games;PC;;5,5;2011
Cuphead;Plataforma;MHDR Studios;PC;;12;2017
Celeste;Plataforma;Matt Makes Game;PC;;8;2018
Journey;Aventura;That Game Company;PC;;2;2012
Crash Tag Team Racing;Corrida;Activision;PlayStation Portable;;8;2005
Quantum Break;Tiro em Terceira Pessoa;Remedy Interactive;PC;;12;2016
Battlefield 1;Tiro em Primeira Pessoa;DICE/ EA Games;PC;;6,5;2016
Wolfenstein: The New Order;Tiro em Primeira Pessoa;MachineGames;PC;;11,5;2014
Call of Duty Modern Warfare Remastered;Tiro em Primeira Pessoa;Infinity Yard/ Activision;PC;;7;2016
Wolfenstein: The Old Blood;Tiro em Primeira Pessoa;MachineGames;PC;;6;2015
Call of Duty: Advanced Warfare;Tiro em Primeira Pessoa;Infinity Yard/ Activision;PC;;7;2014
Super Mario 3D World;Plataforma;Nintendo;Nintendo Wii U;;10,5;2013
Superhot;Tiro em Primeira Pessoa;SUPERHOT Team;PC;;5;2016
Detroit: Become Human;Point and Click;Quantic Dream;PC;;15;2018
Alan Wake: American Nightmare;Survival Horror;Remedy Interactive;PC;;4;2012
Love Hina Advance: Shukufuku no Kane wa Harukana;Visual Novel;Marvelous;Gameboy Advanced;;2;2001
Limbo;Plataforma;Playdead;PC;;3,5;2010
The Legend of Zelda: Ocarina of Time;RPG de A��o;Nintendo;Nintendo 64;15/06/12;28,3;1998
Crysis 3;Tiro em Primeira Pessoa;EA Games;PlayStation 3;16/08/14;7;2013
Mortal Kombat 9 (2011);Luta;Netherrealm Games;PlayStation 3;09/11/14;8;2011
Tekken Tag Tournament 2;Luta;Namco Bandai;PlayStation 3;18/12/14;1,5;2012
Metal Gear Rising: Revengeance;Hack and Slash;Platinium Games/KONAMI;PlayStation 3;07/01/15;7;2013
Metal Gear Solid 4: Guns of the Patriots;Tiro em Terceira Pessoa;Kojima Productions/KONAMI;PlayStation 3;23/01/15;26;2008
God of War: Ascencion;Hack and Slash;Santa Monica Studios;PlayStation 3;30/01/15;9;2013
Assassin's Creed IV: Black Flag;A��o;Ubisoft;PlayStation 3;06/02/15;23;2013
Call of Duty: Ghosts;Tiro em Primeira Pessoa;Infinity Yard/ Activision;PlayStation 3;07/02/15;6;2013
Injustice: Gods Amoug Us;Luta;Netherrealm Games;PlayStation 3;11/03/15;5,5;2013
Tom Clancy's Splinter Cell: Blacklist;Tiro em Terceira Pessoa;Ubisoft;PlayStation 3;29/03/15;11;2013
Watch_Dogs;A��o;Ubisoft;PlayStation 3;08/04/15;19,5;2014
Naruto Shippuuden Ultimate Ninja Storm 3;Luta;Bandai Games;PlayStation 3;14/08/15;13;2013
Gran Turismo 6;Corrida;Polyphony Digital;PlayStation 3;23/08/15;44,5;2013
Battlefield 3;Tiro em Primeira Pessoa;DICE/ EA Games;PlayStation 3;28/08/15;6;2011
Metal Gear Solid 3: Snake Eater;Tiro em Terceira Pessoa;Kojima Productions/KONAMI;PlayStation 3;01/10/15;16;2004
Uncharted 3: Drake's Deception ;Tiro em Terceira Pessoa;Naughty Dog;PlayStation 3;12/10/15;9;2011
Assassin's Creed III;A��o;Ubisoft;PlayStation 3;05/11/15;16;2012
Killzone 3;Tiro em Primeira Pessoa;Guerrila Games;PlayStation 3;17/11/15;7;2011
